index,exposure_start,exposure_end,client_start,client_end
2126,128.416797978,128.428512645,1609339385.2354665,1609339385.247824
2127,128.428645478,128.438695071,1609339385.2478461,1609339385.2582722
2128,128.438829015,128.448902478,1609339385.2582977,1609339385.268172
2129,128.449035719,128.461919663,1609339385.268195,1609339385.2809381
2130,128.462079015,128.472133349,1609339385.2809598,1609339385.2910905
2131,128.472260978,128.482509201,1609339385.2911153,1609339385.300954
2132,128.482636719,128.494993738,1609339385.3009768,1609339385.3143659
2133,128.495149034,128.505416515,1609339385.3143866,1609339385.3250332
2134,128.505574923,128.516121126,1609339385.3250566,1609339385.3373487
2135,128.516253034,128.528371349,1609339385.3373716,1609339385.347056
2136,128.528507126,128.538319367,1609339385.3470745,1609339385.3574297
2137,128.53848233,128.549536163,1609339385.3574526,1609339385.3685443
2138,128.549708589,128.562668719,1609339385.39456,1609339385.3946788
2139,128.562798552,128.571909978,1609339385.3946905,1609339385.3947475
2140,128.572044978,128.582259886,1609339385.3947566,1609339385.4013944
2141,128.582411182,128.595863219,1609339385.4014313,1609339385.4149034
2142,128.596019904,128.605273867,1609339385.4149277,1609339385.4263105
2143,128.605403608,128.615353478,1609339385.4263396,1609339385.435629
2144,128.615990589,128.628648015,1609339385.4356518,1609339385.4474616
2145,128.6288117,128.638616886,1609339385.4474843,1609339385.4577713
2146,128.638777367,128.649130793,1609339385.4577982,1609339385.4679852
2147,128.649264423,128.661115867,1609339385.468045,1609339385.4799736
